LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1716209302.704292,315470,50080,1,SR,1,100,0.133333
1716209303.237298,316003,50167,1,SR,1,100,0.133333
1716209303.504302,316270,50236,1,SR,1,100,0.266667
1716209304.037308,316803,50335,1,SR,1,100,0.333333
1716209304.503313,317269,50371,1,SR,1,100,0.066667
1716209304.703316,317469,50455,1,SR,1,100,0.400000
1716209305.370323,318136,50570,1,SR,1,100,0.400000
1716209306.170333,318936,50660,1,SR,1,100,0.133333
1716209306.436336,319202,50679,1,SR,1,100,0.066667
1716209306.636338,319402,50713,1,SR,1,100,0.066667
1716209306.970342,319736,50765,1,SR,1,100,0.133333
1716209307.236345,320002,50817,1,SR,1,100,0.133333
1716209307.504348,320270,50851,1,SR,1,100,0.066667
1716209307.704351,320470,50886,1,SR,1,100,0.066667
1716209308.304358,321070,51021,1,SR,1,100,0.266667
1716209309.103367,321869,51157,1,SR,1,100,0.333333
1716209309.570373,322336,51225,1,SR,1,100,0.266667
1716209310.103379,322869,51309,1,SR,1,100,0.200000
1716209310.569384,323335,51376,1,SR,1,100,0.133333
1716209310.837387,323603,51477,1,SR,1,100,0.533333
1716209311.769398,324535,51567,1,SR,1,100,0.133333
1716209312.237404,325003,51684,1,SR,1,100,0.333333
1716209312.836411,325602,51751,1,SR,1,100,0.133333
1716209313.369417,326135,51820,1,SR,1,100,0.066667
1716209313.836422,326602,51937,1,SR,1,100,0.266667
1716209314.370429,327136,52005,1,SR,1,100,0.133333
1716209314.636432,327402,52058,1,SR,1,100,0.200000
1716209315.236439,328002,52143,1,SR,1,100,0.133333
1716209315.636443,328402,52210,1,SR,1,100,0.133333
1716209315.903446,328669,52261,1,SR,1,100,0.200000
1716209316.236450,329002,52295,1,SR,1,100,0.066667
1716209316.436453,329202,52369,1,SR,1,100,0.333333
1716209316.902458,329668,52422,1,SR,1,100,0.133333
1716209317.435464,330201,52506,1,SR,1,100,0.066667
1716209317.635467,330401,52573,1,SR,1,100,0.266667
1716209318.303474,331069,52640,1,SR,1,100,0.066667
1716209318.769480,331535,52745,1,SR,1,100,0.200000
1716209319.103484,331869,52796,1,SR,1,100,0.200000
1716209319.569489,332335,52896,1,SR,1,100,0.266667
1716209320.102495,332868,52947,1,SR,1,100,0.066667
1716209320.568501,333334,53033,1,SR,1,100,0.133333
1716209320.968506,333734,53115,1,SR,1,100,0.266667
1716209321.636513,334402,53223,1,SR,1,100,0.266667
1716209322.168520,334934,53309,1,SR,1,100,0.200000
1716209322.502524,335268,53359,1,SR,1,100,0.133333
1716209323.035530,335801,53444,1,SR,1,100,0.133333
1716209323.568536,336334,53513,1,SR,1,100,0.066667
1716209323.901540,336667,53582,1,SR,1,100,0.133333
1716209324.301545,337067,53683,1,SR,1,100,0.266667
1716209325.101554,337867,53783,1,SR,1,100,0.066667
1716209325.301556,338067,53800,1,SR,1,100,0.066667
1716209325.501559,338267,53855,1,SR,1,100,0.133333
1716209325.901563,338667,53937,1,SR,1,100,0.266667
1716209326.434570,339200,54112,1,SR,1,100,0.800000
1716209327.501582,340267,54179,1,SR,1,100,0.066667
1716209327.701584,340467,54214,1,SR,1,100,0.066667
1716209327.901587,340667,54251,1,SR,1,100,0.066667
1716209328.101589,340867,54319,1,SR,1,100,0.333333
1716209328.701596,341467,54406,1,SR,1,100,0.200000
1716209329.301603,342067,54473,1,SR,1,100,0.066667
1716209329.634607,342400,54576,1,SR,1,100,0.266667
1716209330.168613,342934,54677,1,SR,1,100,0.400000
1716209331.234626,344000,54794,1,SR,1,100,0.066667
1716209331.567630,344333,54863,1,SR,1,100,0.066667
1716209331.767632,344533,54936,1,SR,1,100,0.400000
1716209332.568641,345334,55038,1,SR,1,100,0.200000
1716209333.034647,345800,55140,1,SR,1,100,0.266667
1716209333.434651,346200,55226,1,SR,1,100,0.400000
1716209334.234661,347000,55327,1,SR,1,100,0.266667
1716209334.901669,347667,55427,1,SR,1,100,0.133333
1716209335.167671,347933,55463,1,SR,1,100,0.066667
1716209335.367674,348133,55532,1,SR,1,100,0.266667
1716209335.900680,348666,55582,1,SR,1,100,0.133333
1716209336.167683,348933,55649,1,SR,1,100,0.200000
1716209336.634689,349400,55750,1,SR,1,100,0.333333
1716209337.367697,350133,55822,1,SR,1,100,0.066667
1716209337.833703,350599,55911,1,SR,1,100,0.200000
1716209338.700713,351466,56046,1,SR,1,100,0.133333
1716209339.233719,351999,56161,1,SR,1,100,0.266667
1716209339.633724,352399,56212,1,SR,1,100,0.200000
1716209340.100729,352866,56279,1,SR,1,100,0.133333
1716209340.766737,353532,56398,1,SR,1,100,0.200000
1716209341.100741,353866,56451,1,SR,1,100,0.133333
1716209341.500746,354266,56535,1,SR,1,100,0.333333
1716209342.100753,354866,56608,1,SR,1,100,0.066667
1716209342.300755,355066,56626,1,SR,1,100,0.066667
1716209342.500757,355266,56695,1,SR,1,100,0.266667
1716209343.033763,355799,56780,1,SR,1,100,0.200000
1716209343.633770,356399,56867,1,SR,1,100,0.133333
1716209343.899774,356665,56901,1,SR,1,100,0.133333
1716209344.699783,357465,57069,1,SR,1,100,0.333333
1716209345.166788,357932,57103,1,SR,1,100,0.066667
