LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1713793816.560686,318998.000,49844,1,TH,1,100,32.195
1713793816.693688,319131.000,49860,1,TH,1,100,32.202
1713793816.827690,319265.000,49877,1,TH,1,100,32.144
1713793816.960692,319398.000,49909,1,TH,1,100,32.144
1713793817.093694,319531.000,49925,1,TH,1,100,32.253
1713793817.227696,319665.000,49942,1,TH,1,100,32.253
1713793817.360698,319798.000,49974,1,TH,1,100,32.219
1713793817.493700,319931.000,49990,1,TH,1,100,32.219
1713793817.626702,320064.000,50008,1,TH,1,100,32.253
1713793817.760704,320198.000,50024,1,TH,1,100,32.253
1713793817.893706,320331.000,50056,1,TH,1,100,32.248
1713793818.026708,320464.000,50073,1,TH,1,100,32.248
1713793818.160710,320598.000,50089,1,TH,1,100,32.149
1713793818.293712,320731.000,50123,1,TH,1,100,32.149
1713793818.426714,320864.000,50140,1,TH,1,100,32.270
1713793818.560716,320998.000,50156,1,TH,1,100,32.270
1713793818.693718,321131.000,50188,1,TH,1,100,32.226
1713793818.826720,321264.000,50205,1,TH,1,100,32.226
1713793818.960722,321398.000,50222,1,TH,1,100,32.229
1713793819.093724,321531.000,50241,1,TH,1,100,32.229
1713793819.226726,321664.000,50273,1,TH,1,100,32.343
1713793819.360728,321798.000,50289,1,TH,1,100,32.343
1713793819.493730,321931.000,50306,1,TH,1,100,32.248
1713793819.626732,322064.000,50329,1,TH,1,100,32.255
1713793819.760734,322198.000,50345,1,TH,1,100,32.233
1713793819.893736,322331.000,50377,1,TH,1,100,32.233
1713793820.026738,322464.000,50394,1,TH,1,100,32.236
1713793820.160740,322598.000,50410,1,TH,1,100,32.236
1713793820.293742,322731.000,50428,1,TH,1,100,32.272
1713793820.426744,322864.000,50459,1,TH,1,100,32.272
1713793820.559746,322997.000,50475,1,TH,1,100,32.226
1713793820.693748,323131.000,50493,1,TH,1,100,32.226
1713793820.826750,323264.000,50524,1,TH,1,100,32.243
1713793820.959752,323397.000,50541,1,TH,1,100,32.243
1713793821.093754,323531.000,50558,1,TH,1,100,32.321
1713793821.226756,323664.000,50574,1,TH,1,100,32.321
1713793821.359757,323797.000,50606,1,TH,1,100,32.270
1713793821.493759,323931.000,50623,1,TH,1,100,32.270
1713793821.626761,324064.000,50640,1,TH,1,100,32.170
1713793821.759763,324197.000,50671,1,TH,1,100,32.177
1713793821.893765,324331.000,50688,1,TH,1,100,32.209
1713793822.026767,324464.000,50705,1,TH,1,100,32.202
1713793822.159769,324597.000,50736,1,TH,1,100,32.258
1713793822.293771,324731.000,50754,1,TH,1,100,32.265
1713793822.426773,324864.000,50770,1,TH,1,100,32.296
1713793822.559775,324997.000,50787,1,TH,1,100,32.296
1713793822.693777,325131.000,50819,1,TH,1,100,32.262
1713793822.826779,325264.000,50837,1,TH,1,100,32.262
