LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1729244984.240325,359152.000,52339,1,SF,1,100,1.6109
1729244984.507324,359419.000,52390,1,SF,1,100,1.5923
1729244984.840322,359752.000,52438,1,SF,1,100,1.5739
1729244985.240321,360152.000,52503,1,SF,1,100,1.5557
1729244985.507319,360419.000,52556,1,SF,1,100,1.5377
1729244985.907317,360819.000,52610,1,SF,1,100,1.5199
1729244986.240316,361152.000,52662,1,SF,1,100,1.5023
1729244986.507314,361419.000,52711,1,SF,1,100,1.4849
1729244986.840313,361752.000,52759,1,SF,1,100,1.4677
1729244987.240311,362152.000,52826,1,SF,1,100,1.4508
1729244987.507310,362419.000,52877,1,SF,1,100,1.4340
1729244987.840308,362752.000,52925,1,SF,1,100,1.4174
1729244988.173306,363085.000,52976,1,SF,1,100,1.4010
1729244988.573304,363485.000,53043,1,SF,1,100,1.3848
1729244988.840303,363752.000,53093,1,SF,1,100,1.3688
1729244989.173302,364085.000,53144,1,SF,1,100,1.3529
1729244989.573300,364485.000,53209,1,SF,1,100,1.3373
1729244989.840298,364752.000,53259,1,SF,1,100,1.3218
1729244990.173297,365085.000,53310,1,SF,1,100,1.3065
1729244990.506295,365418.000,53358,1,SF,1,100,1.2914
1729244990.906293,365818.000,53425,1,SF,1,100,1.2765
1729244991.173292,366085.000,53464,1,SF,1,100,1.2617
1729244991.573290,366485.000,53531,1,SF,1,100,1.2471
1729244991.840289,366752.000,53580,1,SF,1,100,1.2327
1729244992.173287,367085.000,53629,1,SF,1,100,1.2184
1729244992.506285,367418.000,53679,1,SF,1,100,1.2043
1729244992.906284,367818.000,53746,1,SF,1,100,1.1904
1729244993.173282,368085.000,53794,1,SF,1,100,1.1766
1729244993.506281,368418.000,53845,1,SF,1,100,1.1630
1729244993.906279,368818.000,53912,1,SF,1,100,1.1496
1729244994.173277,369085.000,53962,1,SF,1,100,1.1363
1729244994.506276,369418.000,54011,1,SF,1,100,1.1231
1729244994.839274,369751.000,54061,1,SF,1,100,1.1101
1729244995.239272,370151.000,54126,1,SF,1,100,1.0973
1729244995.506271,370418.000,54177,1,SF,1,100,1.0846
1729244995.839269,370751.000,54225,1,SF,1,100,1.0720
1729244996.172268,371084.000,54279,1,SF,1,100,1.0596
1729244996.506266,371418.000,54329,1,SF,1,100,1.0474
1729244996.906264,371818.000,54396,1,SF,1,100,1.0353
1729244997.173263,372085.000,54445,1,SF,1,100,1.0233
1729244997.506261,372418.000,54493,1,SF,1,100,1.0115
1729244997.906259,372818.000,54562,1,SF,1,100,0.9998
1729244998.172258,373084.000,54613,1,SF,1,100,0.9882
1729244998.506257,373418.000,54663,1,SF,1,100,0.9768
1729244998.839255,373751.000,54714,1,SF,1,100,0.9655
1729244999.239253,374151.000,54781,1,SF,1,100,0.9543
1729244999.506252,374418.000,54831,1,SF,1,100,0.9432
1729244999.839250,374751.000,54880,1,SF,1,100,0.9323
1729245000.239248,375151.000,54947,1,SF,1,100,0.9216
1729245000.505247,375417.000,54995,1,SF,1,100,0.9109
1729245000.839245,375751.000,55046,1,SF,1,100,0.9004
1729245001.172244,376084.000,55096,1,SF,1,100,0.8899
1729245001.505242,376417.000,55152,1,SF,1,100,0.8796
1729245001.839240,376751.000,55200,1,SF,1,100,0.8695
1729245002.239239,377151.000,55267,1,SF,1,100,0.8594
1729245002.505237,377417.000,55316,1,SF,1,100,0.8495
1729245002.838236,377750.000,55364,1,SF,1,100,0.8396
1729245003.238234,378150.000,55434,1,SF,1,100,0.8299
1729245003.572232,378484.000,55484,1,SF,1,100,0.8203
1729245003.838231,378750.000,55532,1,SF,1,100,0.8108
1729245004.172229,379084.000,55583,1,SF,1,100,0.8015
1729245004.572227,379484.000,55648,1,SF,1,100,0.7922
1729245004.838226,379750.000,55698,1,SF,1,100,0.7830
1729245005.172224,380084.000,55749,1,SF,1,100,0.7740
1729245005.505223,380417.000,55797,1,SF,1,100,0.7650
1729245005.905221,380817.000,55862,1,SF,1,100,0.7562
1729245006.172220,381084.000,55917,1,SF,1,100,0.7474
1729245006.571218,381483.000,55970,1,SF,1,100,0.7388
1729245006.838216,381750.000,56021,1,SF,1,100,0.7302
1729245007.171215,382083.000,56071,1,SF,1,100,0.7218
1729245007.571213,382483.000,56136,1,SF,1,100,0.7134
1729245007.838211,382750.000,56187,1,SF,1,100,0.7052
1729245008.171210,383083.000,56236,1,SF,1,100,0.6970
1729245008.505208,383417.000,56288,1,SF,1,100,0.6890
1729245008.905206,383817.000,56355,1,SF,1,100,0.6810
1729245009.171205,384083.000,56403,1,SF,1,100,0.6731
1729245009.504203,384416.000,56454,1,SF,1,100,0.6653
1729245009.904201,384816.000,56519,1,SF,1,100,0.6576
1729245010.171200,385083.000,56569,1,SF,1,100,0.6500
