LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1729244939.712041,314623.500,45125,2,EL,1,100,-18903.400391
1729244939.778540,314690.000,45125,2,EL,1,100,-18903.800781
1729244939.845540,314757.000,45142,1,EL,1,100,-18903.800781
1729244939.912040,314823.500,45159,2,EL,1,100,-18904.000000
1729244939.978539,314890.000,45159,2,EL,1,100,-18903.800781
1729244940.045539,314957.000,45175,1,EL,1,100,-18904.000000
1729244940.112039,315023.500,45193,2,EL,1,100,-18903.800781
1729244940.178539,315090.000,45193,2,EL,1,100,-18904.000000
1729244940.245538,315157.000,45209,1,EL,1,100,-18904.000000
1729244940.312038,315223.500,45226,2,EL,1,100,-18904.000000
1729244940.378537,315290.000,45226,2,EL,1,100,-18903.800781
1729244940.445537,315357.000,45242,1,EL,1,100,-18903.800781
1729244940.512037,315423.500,45259,2,EL,1,100,-18903.599609
1729244940.578537,315490.000,45259,2,EL,1,100,-18903.400391
1729244940.645036,315556.500,45274,2,EL,1,100,-18903.199219
1729244940.711536,315623.000,45274,2,EL,1,100,-18903.000000
1729244940.778536,315690.000,45291,1,EL,1,100,-18903.000000
1729244940.845035,315756.500,45308,2,EL,1,100,-18903.000000
1729244940.911535,315823.000,45308,2,EL,1,100,-18903.000000
1729244940.978535,315890.000,45325,1,EL,1,100,-18902.800781
1729244941.045034,315956.500,45339,2,EL,1,100,-18902.400391
1729244941.111534,316023.000,45339,2,EL,1,100,-18902.400391
1729244941.178534,316090.000,45357,1,EL,1,100,-18902.000000
1729244941.245033,316156.500,45373,2,EL,1,100,-18902.000000
1729244941.311533,316223.000,45373,2,EL,1,100,-18902.800781
1729244941.378533,316290.000,45392,1,EL,1,100,-18902.400391
1729244941.445032,316356.500,45407,2,EL,1,100,-18902.800781
1729244941.511532,316423.000,45407,2,EL,1,100,-18902.199219
1729244941.578532,316490.000,45424,1,EL,1,100,-18902.000000
1729244941.645031,316556.500,45440,2,EL,1,100,-18902.000000
1729244941.711531,316623.000,45440,2,EL,1,100,-18902.000000
1729244941.778531,316690.000,45457,1,EL,1,100,-18902.199219
1729244941.845030,316756.500,45472,2,EL,1,100,-18902.000000
1729244941.911530,316823.000,45472,2,EL,1,100,-18902.000000
1729244941.978530,316890.000,45489,1,EL,1,100,-18902.199219
1729244942.045029,316956.500,45507,2,EL,1,100,-18902.199219
1729244942.111529,317023.000,45507,2,EL,1,100,-18902.400391
1729244942.178529,317090.000,45525,1,EL,1,100,-18902.199219
1729244942.245028,317156.500,45539,2,EL,1,100,-18902.400391
