LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1729244893.024766,267936.000,37550,3,MY,1,100,-3
1729244893.064766,267976.000,37566,2,MY,1,100,-2
1729244893.104766,268016.000,37566,2,MY,1,100,-2
1729244893.144766,268056.000,37584,3,MY,1,100,-2
1729244893.184766,268096.000,37584,3,MY,1,100,-4
1729244893.224766,268136.000,37584,3,MY,1,100,-2
1729244893.264765,268176.000,37602,2,MY,1,100,-2
1729244893.304765,268216.000,37602,2,MY,1,100,-3
1729244893.344765,268256.000,37617,3,MY,1,100,-4
1729244893.384765,268296.000,37617,3,MY,1,100,-3
1729244893.424764,268336.000,37617,3,MY,1,100,-3
1729244893.464764,268376.000,37639,4,MY,1,100,-2
1729244893.504764,268416.000,37639,4,MY,1,100,-2
1729244893.544764,268456.000,37639,4,MY,1,100,-2
1729244893.584764,268496.000,37639,4,MY,1,100,-2
1729244893.624763,268536.000,37654,2,MY,1,100,-3
1729244893.664763,268576.000,37654,2,MY,1,100,-3
1729244893.704763,268616.000,37670,3,MY,1,100,-3
1729244893.744763,268656.000,37670,3,MY,1,100,-4
1729244893.784763,268696.000,37670,3,MY,1,100,-3
1729244893.831763,268743.000,37690,2,MY,1,100,-3
1729244893.878762,268790.000,37690,2,MY,1,100,-2
1729244893.918762,268830.000,37706,3,MY,1,100,-2
1729244893.958762,268870.000,37706,3,MY,1,100,-2
1729244893.998762,268910.000,37706,3,MY,1,100,-2
1729244894.038762,268950.000,37721,2,MY,1,100,-3
1729244894.078761,268990.000,37721,2,MY,1,100,-2
1729244894.118761,269030.000,37738,3,MY,1,100,-3
1729244894.158761,269070.000,37738,3,MY,1,100,-3
1729244894.198761,269110.000,37738,3,MY,1,100,-3
1729244894.238760,269150.000,37755,2,MY,1,100,-2
1729244894.278760,269190.000,37755,2,MY,1,100,-2
1729244894.318760,269230.000,37771,3,MY,1,100,-2
1729244894.358760,269270.000,37771,3,MY,1,100,-2
1729244894.398760,269310.000,37771,3,MY,1,100,-2
1729244894.438760,269350.000,37787,2,MY,1,100,-3
1729244894.478759,269390.000,37787,2,MY,1,100,-2
1729244894.518759,269430.000,37803,3,MY,1,100,-2
1729244894.558759,269470.000,37803,3,MY,1,100,-3
1729244894.598759,269510.000,37803,3,MY,1,100,-2
1729244894.638759,269550.000,37820,2,MY,1,100,-2
1729244894.678758,269590.000,37820,2,MY,1,100,-3
1729244894.718758,269630.000,37836,3,MY,1,100,-3
1729244894.758758,269670.000,37836,3,MY,1,100,-3
1729244894.798758,269710.000,37836,3,MY,1,100,-2
1729244894.838424,269749.667,37854,3,MY,1,100,-2
1729244894.878091,269789.333,37854,3,MY,1,100,-2
1729244894.917757,269829.000,37854,3,MY,1,100,-3
1729244894.957757,269869.000,37868,2,MY,1,100,-3
1729244894.997757,269909.000,37868,2,MY,1,100,-2
1729244895.037757,269949.000,37887,3,MY,1,100,-2
1729244895.077756,269989.000,37887,3,MY,1,100,-2
1729244895.117756,270029.000,37887,3,MY,1,100,-3
1729244895.157756,270069.000,37904,2,MY,1,100,-3
1729244895.197756,270109.000,37904,2,MY,1,100,-2
1729244895.237756,270149.000,37921,3,MY,1,100,-3
1729244895.277755,270189.000,37921,3,MY,1,100,-3
1729244895.317755,270229.000,37921,3,MY,1,100,-3
1729244895.357755,270269.000,37935,2,MY,1,100,-4
1729244895.397755,270309.000,37935,2,MY,1,100,-2
1729244895.437755,270349.000,37953,3,MY,1,100,-2
1729244895.477755,270389.000,37953,3,MY,1,100,-3
1729244895.517754,270429.000,37953,3,MY,1,100,-4
1729244895.557754,270469.000,37969,2,MY,1,100,-2
1729244895.597754,270509.000,37969,2,MY,1,100,-3
1729244895.637754,270549.000,37986,3,MY,1,100,-3
1729244895.677754,270589.000,37986,3,MY,1,100,-3
1729244895.717753,270629.000,37986,3,MY,1,100,-2
1729244895.757753,270669.000,38000,2,MY,1,100,-3
1729244895.797753,270709.000,38000,2,MY,1,100,-2
1729244895.837753,270749.000,38018,3,MY,1,100,-3
1729244895.877753,270789.000,38018,3,MY,1,100,-3
1729244895.917753,270829.000,38018,3,MY,1,100,-4
1729244895.964252,270875.500,38034,2,MY,1,100,-3
1729244896.010752,270922.000,38034,2,MY,1,100,-2
1729244896.050752,270962.000,38051,3,MY,1,100,-3
1729244896.090752,271002.000,38051,3,MY,1,100,-3
1729244896.130751,271042.000,38051,3,MY,1,100,-1
1729244896.170751,271082.000,38068,2,MY,1,100,-3
1729244896.210751,271122.000,38068,2,MY,1,100,-2
1729244896.250751,271162.000,38085,3,MY,1,100,-1
1729244896.290751,271202.000,38085,3,MY,1,100,-2
1729244896.330750,271242.000,38085,3,MY,1,100,-4
1729244896.370750,271282.000,38101,2,MY,1,100,-3
1729244896.410750,271322.000,38101,2,MY,1,100,-2
1729244896.450750,271362.000,38119,3,MY,1,100,-2
1729244896.490750,271402.000,38119,3,MY,1,100,-3
1729244896.530750,271442.000,38119,3,MY,1,100,-2
1729244896.570749,271482.000,38134,2,MY,1,100,-2
1729244896.610749,271522.000,38134,2,MY,1,100,-3
1729244896.651082,271562.333,38152,3,MY,1,100,-1
1729244896.691415,271602.667,38152,3,MY,1,100,-4
1729244896.731749,271643.000,38152,3,MY,1,100,-3
1729244896.771415,271682.667,38169,3,MY,1,100,-2
1729244896.811081,271722.333,38169,3,MY,1,100,-2
1729244896.850748,271762.000,38169,3,MY,1,100,-3
1729244896.890748,271802.000,38186,2,MY,1,100,-2
1729244896.930748,271842.000,38186,2,MY,1,100,-3
1729244896.970747,271882.000,38202,3,MY,1,100,-1
1729244897.010747,271922.000,38202,3,MY,1,100,-2
1729244897.050747,271962.000,38202,3,MY,1,100,-2
1729244897.090747,272002.000,38217,2,MY,1,100,-2
1729244897.130747,272042.000,38217,2,MY,1,100,-3
1729244897.170746,272082.000,38234,3,MY,1,100,-2
1729244897.210746,272122.000,38234,3,MY,1,100,-2
1729244897.250746,272162.000,38234,3,MY,1,100,-2
1729244897.290746,272202.000,38251,2,MY,1,100,-2
1729244897.330746,272242.000,38251,2,MY,1,100,-2
1729244897.370745,272282.000,38267,3,MY,1,100,-3
1729244897.410745,272322.000,38267,3,MY,1,100,-3
1729244897.450745,272362.000,38267,3,MY,1,100,-2
1729244897.490745,272402.000,38283,2,MY,1,100,-3
1729244897.530745,272442.000,38283,2,MY,1,100,-3
1729244897.570745,272482.000,38299,3,MY,1,100,-2
1729244897.610744,272522.000,38299,3,MY,1,100,-2
1729244897.650744,272562.000,38299,3,MY,1,100,-2
1729244897.690744,272602.000,38318,2,MY,1,100,-3
1729244897.730744,272642.000,38318,2,MY,1,100,-3
1729244897.770743,272682.000,38335,3,MY,1,100,-2
1729244897.810743,272722.000,38335,3,MY,1,100,-2
1729244897.850743,272762.000,38335,3,MY,1,100,-2
1729244897.890743,272802.000,38350,2,MY,1,100,-2
1729244897.930743,272842.000,38350,2,MY,1,100,-3
1729244897.975409,272886.667,38366,3,MY,1,100,-2
1729244898.020076,272931.333,38366,3,MY,1,100,-2
1729244898.064742,272976.000,38366,3,MY,1,100,-3
1729244898.104742,273016.000,38383,2,MY,1,100,-3
1729244898.144742,273056.000,38383,2,MY,1,100,-3
1729244898.184741,273096.000,38402,3,MY,1,100,-4
1729244898.224741,273136.000,38402,3,MY,1,100,-3
1729244898.264741,273176.000,38402,3,MY,1,100,-4
1729244898.304741,273216.000,38417,2,MY,1,100,-2
1729244898.344741,273256.000,38417,2,MY,1,100,-3
1729244898.384741,273296.000,38433,3,MY,1,100,-3
1729244898.424740,273336.000,38433,3,MY,1,100,-3
1729244898.464740,273376.000,38433,3,MY,1,100,-2
1729244898.504740,273416.000,38451,2,MY,1,100,-2
1729244898.544740,273456.000,38451,2,MY,1,100,-1
1729244898.584739,273496.000,38472,4,MY,1,100,-4
1729244898.624739,273536.000,38472,4,MY,1,100,-2
1729244898.664739,273576.000,38472,4,MY,1,100,-3
1729244898.704739,273616.000,38472,4,MY,1,100,-1
1729244898.744739,273656.000,38489,3,MY,1,100,-3
1729244898.784739,273696.000,38489,3,MY,1,100,-2
1729244898.824739,273736.000,38489,3,MY,1,100,-3
1729244898.864738,273776.000,38506,2,MY,1,100,-3
1729244898.904738,273816.000,38506,2,MY,1,100,-3
1729244898.944738,273856.000,38523,3,MY,1,100,-2
1729244898.984738,273896.000,38523,3,MY,1,100,-3
1729244899.024737,273936.000,38523,3,MY,1,100,-3
1729244899.064737,273976.000,38539,2,MY,1,100,-3
1729244899.104737,274016.000,38539,2,MY,1,100,-3
1729244899.144737,274056.000,38557,3,MY,1,100,-3
1729244899.184737,274096.000,38557,3,MY,1,100,-3
1729244899.224736,274136.000,38557,3,MY,1,100,-4
1729244899.264736,274176.000,38573,2,MY,1,100,-2
1729244899.304736,274216.000,38573,2,MY,1,100,-2
1729244899.344736,274256.000,38588,3,MY,1,100,-4
1729244899.384736,274296.000,38588,3,MY,1,100,-2
1729244899.424736,274336.000,38588,3,MY,1,100,-3
1729244899.464735,274376.000,38605,2,MY,1,100,-3
1729244899.504735,274416.000,38605,2,MY,1,100,-3
1729244899.544735,274456.000,38622,3,MY,1,100,-2
1729244899.584735,274496.000,38622,3,MY,1,100,-3
1729244899.624735,274536.000,38622,3,MY,1,100,-4
1729244899.664734,274576.000,38638,2,MY,1,100,-2
1729244899.704734,274616.000,38638,2,MY,1,100,-2
1729244899.744734,274656.000,38654,3,MY,1,100,-3
1729244899.784734,274696.000,38654,3,MY,1,100,-2
1729244899.824733,274736.000,38654,3,MY,1,100,-3
1729244899.864733,274776.000,38670,3,MY,1,100,-2
1729244899.904733,274816.000,38670,3,MY,1,100,-3
1729244899.944733,274856.000,38670,3,MY,1,100,-3
1729244899.984733,274896.000,38687,2,MY,1,100,-3
1729244900.024733,274936.000,38687,2,MY,1,100,-2
1729244900.064732,274976.000,38703,2,MY,1,100,-3
1729244900.104732,275016.000,38703,2,MY,1,100,-3
1729244900.149065,275060.333,38721,3,MY,1,100,-2
1729244900.193398,275104.667,38721,3,MY,1,100,-3
1729244900.237731,275149.000,38721,3,MY,1,100,-3
