LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1729244892.086671,266997.900,37387,10,PR,1,100,150793
1729244892.097371,267008.600,37387,10,PR,1,100,150826
1729244892.108071,267019.300,37387,10,PR,1,100,150805
1729244892.118771,267030.000,37387,10,PR,1,100,150833
1729244892.128071,267039.300,37407,10,PR,1,100,150809
1729244892.137371,267048.600,37407,10,PR,1,100,150778
1729244892.146671,267057.900,37407,10,PR,1,100,150816
1729244892.155971,267067.200,37407,10,PR,1,100,150840
1729244892.165271,267076.500,37407,10,PR,1,100,150802
1729244892.174571,267085.800,37407,10,PR,1,100,150781
1729244892.183871,267095.100,37407,10,PR,1,100,150836
1729244892.193171,267104.400,37407,10,PR,1,100,150838
1729244892.202470,267113.700,37407,10,PR,1,100,150803
1729244892.211770,267123.000,37407,10,PR,1,100,150837
1729244892.222470,267133.700,37421,10,PR,1,100,150823
1729244892.233170,267144.400,37421,10,PR,1,100,150803
1729244892.243870,267155.100,37421,10,PR,1,100,150828
1729244892.254570,267165.800,37421,10,PR,1,100,150852
1729244892.265270,267176.500,37421,10,PR,1,100,150821
1729244892.275970,267187.200,37421,10,PR,1,100,150782
1729244892.286670,267197.900,37421,10,PR,1,100,150819
1729244892.297370,267208.600,37421,10,PR,1,100,150836
1729244892.308070,267219.300,37421,10,PR,1,100,150830
1729244892.318770,267230.000,37421,10,PR,1,100,150818
1729244892.328406,267239.636,37438,11,PR,1,100,150827
1729244892.338042,267249.273,37438,11,PR,1,100,150805
1729244892.347679,267258.909,37438,11,PR,1,100,150829
1729244892.357315,267268.545,37438,11,PR,1,100,150818
1729244892.366951,267278.182,37438,11,PR,1,100,150850
1729244892.376588,267287.818,37438,11,PR,1,100,150807
1729244892.386224,267297.455,37438,11,PR,1,100,150828
1729244892.395860,267307.091,37438,11,PR,1,100,150852
1729244892.405497,267316.727,37438,11,PR,1,100,150817
1729244892.415133,267326.364,37438,11,PR,1,100,150828
1729244892.424769,267336.000,37438,11,PR,1,100,150831
1729244892.435214,267346.444,37455,9,PR,1,100,150811
1729244892.445658,267356.889,37455,9,PR,1,100,150830
1729244892.456103,267367.333,37455,9,PR,1,100,150852
1729244892.466547,267377.778,37455,9,PR,1,100,150852
1729244892.476991,267388.222,37455,9,PR,1,100,150861
1729244892.487436,267398.667,37455,9,PR,1,100,150842
1729244892.497880,267409.111,37455,9,PR,1,100,150895
1729244892.508324,267419.556,37455,9,PR,1,100,150866
1729244892.518769,267430.000,37455,9,PR,1,100,150842
1729244892.528405,267439.636,37472,11,PR,1,100,150872
1729244892.538042,267449.273,37472,11,PR,1,100,150847
1729244892.547678,267458.909,37472,11,PR,1,100,150868
1729244892.557314,267468.545,37472,11,PR,1,100,150907
1729244892.566951,267478.182,37472,11,PR,1,100,150900
1729244892.576587,267487.818,37472,11,PR,1,100,150853
1729244892.586223,267497.455,37472,11,PR,1,100,150883
1729244892.595860,267507.091,37472,11,PR,1,100,150856
1729244892.605496,267516.727,37472,11,PR,1,100,150869
1729244892.615132,267526.364,37472,11,PR,1,100,150831
1729244892.624768,267536.000,37472,11,PR,1,100,150823
1729244892.635213,267546.444,37486,9,PR,1,100,150789
1729244892.645657,267556.889,37486,9,PR,1,100,150807
1729244892.656101,267567.333,37486,9,PR,1,100,150821
1729244892.666546,267577.778,37486,9,PR,1,100,150795
1729244892.676990,267588.222,37486,9,PR,1,100,150821
1729244892.687435,267598.667,37486,9,PR,1,100,150817
