LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1729244929.611862,304523.273,43471,11,PG,1,100,9639
1729244929.621589,304533.000,43471,11,PG,1,100,9618
1729244929.631923,304543.333,43488,9,PG,1,100,9636
1729244929.642256,304553.667,43488,9,PG,1,100,9640
1729244929.652589,304564.000,43488,9,PG,1,100,9653
1729244929.662923,304574.333,43488,9,PG,1,100,9638
1729244929.673256,304584.667,43488,9,PG,1,100,9622
1729244929.683589,304595.000,43488,9,PG,1,100,9640
1729244929.693923,304605.333,43488,9,PG,1,100,9621
1729244929.704256,304615.667,43488,9,PG,1,100,9634
1729244929.714589,304626.000,43488,9,PG,1,100,9632
1729244929.724316,304635.727,43504,11,PG,1,100,9622
1729244929.734044,304645.455,43504,11,PG,1,100,9603
1729244929.743771,304655.182,43504,11,PG,1,100,9650
1729244929.753498,304664.909,43504,11,PG,1,100,9625
1729244929.763225,304674.636,43504,11,PG,1,100,9647
1729244929.772952,304684.364,43504,11,PG,1,100,9628
1729244929.782680,304694.091,43504,11,PG,1,100,9641
1729244929.792407,304703.818,43504,11,PG,1,100,9613
1729244929.802134,304713.545,43504,11,PG,1,100,9599
1729244929.811861,304723.273,43504,11,PG,1,100,9635
1729244929.821589,304733.000,43504,11,PG,1,100,9610
1729244929.832189,304743.600,43520,10,PG,1,100,9614
1729244929.842788,304754.200,43520,10,PG,1,100,9622
1729244929.853388,304764.800,43520,10,PG,1,100,9623
1729244929.863988,304775.400,43520,10,PG,1,100,9636
1729244929.874588,304786.000,43520,10,PG,1,100,9611
1729244929.885188,304796.600,43520,10,PG,1,100,9619
1729244929.895788,304807.200,43520,10,PG,1,100,9631
1729244929.906388,304817.800,43520,10,PG,1,100,9615
1729244929.916988,304828.400,43520,10,PG,1,100,9626
1729244929.927588,304839.000,43520,10,PG,1,100,9629
1729244929.936988,304848.400,43538,10,PG,1,100,9633
1729244929.946388,304857.800,43538,10,PG,1,100,9607
1729244929.955788,304867.200,43538,10,PG,1,100,9627
1729244929.965188,304876.600,43538,10,PG,1,100,9621
1729244929.974588,304886.000,43538,10,PG,1,100,9626
1729244929.983988,304895.400,43538,10,PG,1,100,9629
1729244929.993388,304904.800,43538,10,PG,1,100,9609
1729244930.002788,304914.200,43538,10,PG,1,100,9614
1729244930.012188,304923.600,43538,10,PG,1,100,9658
1729244930.021588,304933.000,43538,10,PG,1,100,9629
1729244930.032187,304943.600,43555,10,PG,1,100,9640
1729244930.042788,304954.200,43555,10,PG,1,100,9664
1729244930.053387,304964.800,43555,10,PG,1,100,9639
1729244930.063987,304975.400,43555,10,PG,1,100,9659
1729244930.074587,304986.000,43555,10,PG,1,100,9642
1729244930.085187,304996.600,43555,10,PG,1,100,9661
1729244930.095787,305007.200,43555,10,PG,1,100,9647
1729244930.106387,305017.800,43555,10,PG,1,100,9657
1729244930.116987,305028.400,43555,10,PG,1,100,9651
1729244930.127587,305039.000,43555,10,PG,1,100,9639
1729244930.136987,305048.400,43572,10,PG,1,100,9672
1729244930.146387,305057.800,43572,10,PG,1,100,9680
1729244930.155787,305067.200,43572,10,PG,1,100,9649
1729244930.165187,305076.600,43572,10,PG,1,100,9640
1729244930.174587,305086.000,43572,10,PG,1,100,9678
1729244930.183987,305095.400,43572,10,PG,1,100,9688
1729244930.193387,305104.800,43572,10,PG,1,100,9663
1729244930.202787,305114.200,43572,10,PG,1,100,9653
1729244930.212187,305123.600,43572,10,PG,1,100,9688
1729244930.221587,305133.000,43572,10,PG,1,100,9648
1729244930.232187,305143.600,43587,10,PG,1,100,9673
1729244930.242786,305154.200,43587,10,PG,1,100,9666
1729244930.253386,305164.800,43587,10,PG,1,100,9695
1729244930.263986,305175.400,43587,10,PG,1,100,9707
1729244930.274586,305186.000,43587,10,PG,1,100,9683
1729244930.285186,305196.600,43587,10,PG,1,100,9677
1729244930.295786,305207.200,43587,10,PG,1,100,9680
1729244930.306386,305217.800,43587,10,PG,1,100,9693
1729244930.316986,305228.400,43587,10,PG,1,100,9695
1729244930.327586,305239.000,43587,10,PG,1,100,9701
1729244930.337313,305248.727,43603,11,PG,1,100,9699
1729244930.347041,305258.455,43603,11,PG,1,100,9709
1729244930.356768,305268.182,43603,11,PG,1,100,9698
1729244930.366495,305277.909,43603,11,PG,1,100,9698
1729244930.376222,305287.636,43603,11,PG,1,100,9701
1729244930.385949,305297.364,43603,11,PG,1,100,9705
1729244930.395677,305307.091,43603,11,PG,1,100,9695
1729244930.405404,305316.818,43603,11,PG,1,100,9710
1729244930.415131,305326.545,43603,11,PG,1,100,9718
1729244930.424858,305336.273,43603,11,PG,1,100,9695
1729244930.434586,305346.000,43603,11,PG,1,100,9699
1729244930.444919,305356.333,43621,9,PG,1,100,9695
1729244930.455252,305366.667,43621,9,PG,1,100,9665
1729244930.465585,305377.000,43621,9,PG,1,100,9681
1729244930.475919,305387.333,43621,9,PG,1,100,9671
1729244930.486252,305397.667,43621,9,PG,1,100,9661
1729244930.496585,305408.000,43621,9,PG,1,100,9660
1729244930.506919,305418.333,43621,9,PG,1,100,9626
1729244930.517252,305428.667,43621,9,PG,1,100,9661
1729244930.527585,305439.000,43621,9,PG,1,100,9625
1729244930.537312,305448.727,43637,11,PG,1,100,9636
1729244930.547040,305458.455,43637,11,PG,1,100,9652
1729244930.556767,305468.182,43637,11,PG,1,100,9616
1729244930.566494,305477.909,43637,11,PG,1,100,9623
1729244930.576221,305487.636,43637,11,PG,1,100,9627
1729244930.585948,305497.364,43637,11,PG,1,100,9626
1729244930.595676,305507.091,43637,11,PG,1,100,9622
1729244930.605403,305516.818,43637,11,PG,1,100,9617
1729244930.615130,305526.545,43637,11,PG,1,100,9613
1729244930.624857,305536.273,43637,11,PG,1,100,9608
1729244930.634585,305546.000,43637,11,PG,1,100,9596
1729244930.645185,305556.600,43652,10,PG,1,100,9614
1729244930.655785,305567.200,43652,10,PG,1,100,9625
1729244930.666384,305577.800,43652,10,PG,1,100,9632
1729244930.676984,305588.400,43652,10,PG,1,100,9612
1729244930.687584,305599.000,43652,10,PG,1,100,9605
1729244930.698184,305609.600,43652,10,PG,1,100,9631
1729244930.708784,305620.200,43652,10,PG,1,100,9605
1729244930.719384,305630.800,43652,10,PG,1,100,9626
1729244930.729984,305641.400,43652,10,PG,1,100,9612
1729244930.740584,305652.000,43652,10,PG,1,100,9588
1729244930.750311,305661.727,43669,11,PG,1,100,9621
1729244930.760039,305671.455,43669,11,PG,1,100,9597
1729244930.769766,305681.182,43669,11,PG,1,100,9612
1729244930.779493,305690.909,43669,11,PG,1,100,9616
1729244930.789220,305700.636,43669,11,PG,1,100,9598
1729244930.798947,305710.364,43669,11,PG,1,100,9633
1729244930.808675,305720.091,43669,11,PG,1,100,9597
1729244930.818402,305729.818,43669,11,PG,1,100,9625
1729244930.828129,305739.545,43669,11,PG,1,100,9591
1729244930.837856,305749.273,43669,11,PG,1,100,9598
1729244930.847584,305759.000,43669,11,PG,1,100,9601
1729244930.857917,305769.333,43686,9,PG,1,100,9607
1729244930.868250,305779.667,43686,9,PG,1,100,9617
1729244930.878583,305790.000,43686,9,PG,1,100,9591
1729244930.888917,305800.333,43686,9,PG,1,100,9602
1729244930.899250,305810.667,43686,9,PG,1,100,9583
1729244930.909583,305821.000,43686,9,PG,1,100,9588
1729244930.919917,305831.333,43686,9,PG,1,100,9623
1729244930.930250,305841.667,43686,9,PG,1,100,9621
1729244930.940583,305852.000,43686,9,PG,1,100,9593
1729244930.950310,305861.727,43702,11,PG,1,100,9634
1729244930.960037,305871.455,43702,11,PG,1,100,9589
1729244930.969765,305881.182,43702,11,PG,1,100,9617
1729244930.979492,305890.909,43702,11,PG,1,100,9623
1729244930.989219,305900.636,43702,11,PG,1,100,9615
1729244930.998946,305910.364,43702,11,PG,1,100,9631
1729244931.008674,305920.091,43702,11,PG,1,100,9625
1729244931.018401,305929.818,43702,11,PG,1,100,9624
1729244931.028128,305939.545,43702,11,PG,1,100,9653
1729244931.037855,305949.273,43702,11,PG,1,100,9620
1729244931.047583,305959.000,43702,11,PG,1,100,9628
1729244931.057916,305969.333,43721,9,PG,1,100,9646
1729244931.068249,305979.667,43721,9,PG,1,100,9665
1729244931.078583,305990.000,43721,9,PG,1,100,9647
1729244931.088916,306000.333,43721,9,PG,1,100,9638
1729244931.099249,306010.667,43721,9,PG,1,100,9632
1729244931.109582,306021.000,43721,9,PG,1,100,9629
1729244931.119915,306031.333,43721,9,PG,1,100,9662
1729244931.130249,306041.667,43721,9,PG,1,100,9650
1729244931.140582,306052.000,43721,9,PG,1,100,9652
1729244931.150309,306061.727,43736,11,PG,1,100,9645
1729244931.160037,306071.455,43736,11,PG,1,100,9653
1729244931.169764,306081.182,43736,11,PG,1,100,9650
1729244931.179491,306090.909,43736,11,PG,1,100,9680
1729244931.189218,306100.636,43736,11,PG,1,100,9656
1729244931.198946,306110.364,43736,11,PG,1,100,9686
1729244931.208673,306120.091,43736,11,PG,1,100,9676
1729244931.218400,306129.818,43736,11,PG,1,100,9647
1729244931.228127,306139.545,43736,11,PG,1,100,9692
1729244931.237854,306149.273,43736,11,PG,1,100,9671
1729244931.247582,306159.000,43736,11,PG,1,100,9684
1729244931.257915,306169.333,43753,9,PG,1,100,9678
1729244931.268248,306179.667,43753,9,PG,1,100,9673
1729244931.278581,306190.000,43753,9,PG,1,100,9676
1729244931.288915,306200.333,43753,9,PG,1,100,9691
1729244931.299248,306210.667,43753,9,PG,1,100,9699
1729244931.309581,306221.000,43753,9,PG,1,100,9677
1729244931.319915,306231.333,43753,9,PG,1,100,9706
1729244931.330248,306241.667,43753,9,PG,1,100,9696
1729244931.340581,306252.000,43753,9,PG,1,100,9712
1729244931.350308,306261.727,43769,11,PG,1,100,9700
1729244931.360036,306271.455,43769,11,PG,1,100,9709
1729244931.369763,306281.182,43769,11,PG,1,100,9702
1729244931.379490,306290.909,43769,11,PG,1,100,9713
1729244931.389217,306300.636,43769,11,PG,1,100,9704
1729244931.398945,306310.364,43769,11,PG,1,100,9712
1729244931.408672,306320.091,43769,11,PG,1,100,9695
1729244931.418399,306329.818,43769,11,PG,1,100,9731
1729244931.428126,306339.545,43769,11,PG,1,100,9693
1729244931.437853,306349.273,43769,11,PG,1,100,9696
1729244931.447581,306359.000,43769,11,PG,1,100,9688
1729244931.458281,306369.700,43787,10,PG,1,100,9689
1729244931.468981,306380.400,43787,10,PG,1,100,9693
1729244931.479681,306391.100,43787,10,PG,1,100,9683
1729244931.490381,306401.800,43787,10,PG,1,100,9656
1729244931.501081,306412.500,43787,10,PG,1,100,9666
1729244931.511780,306423.200,43787,10,PG,1,100,9679
1729244931.522480,306433.900,43787,10,PG,1,100,9647
1729244931.533180,306444.600,43787,10,PG,1,100,9669
1729244931.543880,306455.300,43787,10,PG,1,100,9654
1729244931.554580,306466.000,43787,10,PG,1,100,9633
1729244931.564216,306475.636,43801,11,PG,1,100,9641
1729244931.573853,306485.273,43801,11,PG,1,100,9648
1729244931.583489,306494.909,43801,11,PG,1,100,9654
1729244931.593125,306504.545,43801,11,PG,1,100,9627
1729244931.602762,306514.182,43801,11,PG,1,100,9646
1729244931.612398,306523.818,43801,11,PG,1,100,9635
1729244931.622034,306533.455,43801,11,PG,1,100,9649
1729244931.631671,306543.091,43801,11,PG,1,100,9646
1729244931.641307,306552.727,43801,11,PG,1,100,9654
1729244931.650943,306562.364,43801,11,PG,1,100,9620
1729244931.660580,306572.000,43801,11,PG,1,100,9661
1729244931.671024,306582.444,43818,9,PG,1,100,9642
1729244931.681468,306592.889,43818,9,PG,1,100,9652
1729244931.691913,306603.333,43818,9,PG,1,100,9657
1729244931.702357,306613.778,43818,9,PG,1,100,9651
1729244931.712802,306624.222,43818,9,PG,1,100,9689
1729244931.723246,306634.667,43818,9,PG,1,100,9631
1729244931.733691,306645.111,43818,9,PG,1,100,9654
1729244931.744135,306655.556,43818,9,PG,1,100,9656
1729244931.754579,306666.000,43818,9,PG,1,100,9627
1729244931.764215,306675.636,43835,11,PG,1,100,9674
1729244931.773852,306685.273,43835,11,PG,1,100,9642
1729244931.783488,306694.909,43835,11,PG,1,100,9658
1729244931.793124,306704.545,43835,11,PG,1,100,9645
1729244931.802761,306714.182,43835,11,PG,1,100,9634
1729244931.812397,306723.818,43835,11,PG,1,100,9643
1729244931.822033,306733.455,43835,11,PG,1,100,9657
1729244931.831670,306743.091,43835,11,PG,1,100,9664
1729244931.841306,306752.727,43835,11,PG,1,100,9648
1729244931.850942,306762.364,43835,11,PG,1,100,9658
1729244931.860579,306772.000,43835,11,PG,1,100,9648
1729244931.871023,306782.444,43852,9,PG,1,100,9641
1729244931.881468,306792.889,43852,9,PG,1,100,9660
1729244931.891912,306803.333,43852,9,PG,1,100,9649
1729244931.902356,306813.778,43852,9,PG,1,100,9660
1729244931.912801,306824.222,43852,9,PG,1,100,9682
1729244931.923245,306834.667,43852,9,PG,1,100,9643
1729244931.933689,306845.111,43852,9,PG,1,100,9690
1729244931.944134,306855.556,43852,9,PG,1,100,9676
1729244931.954578,306866.000,43852,9,PG,1,100,9664
1729244931.964215,306875.636,43868,11,PG,1,100,9702
1729244931.973851,306885.273,43868,11,PG,1,100,9664
1729244931.983487,306894.909,43868,11,PG,1,100,9666
1729244931.993124,306904.545,43868,11,PG,1,100,9696
1729244932.002760,306914.182,43868,11,PG,1,100,9668
1729244932.012396,306923.818,43868,11,PG,1,100,9690
1729244932.022032,306933.455,43868,11,PG,1,100,9669
1729244932.031669,306943.091,43868,11,PG,1,100,9675
1729244932.041305,306952.727,43868,11,PG,1,100,9712
1729244932.050941,306962.364,43868,11,PG,1,100,9679
1729244932.060578,306972.000,43868,11,PG,1,100,9702
1729244932.070305,306981.727,43885,11,PG,1,100,9717
1729244932.080032,306991.455,43885,11,PG,1,100,9694
1729244932.089759,307001.182,43885,11,PG,1,100,9683
1729244932.099487,307010.909,43885,11,PG,1,100,9710
1729244932.109214,307020.636,43885,11,PG,1,100,9696
1729244932.118941,307030.364,43885,11,PG,1,100,9695
1729244932.128668,307040.091,43885,11,PG,1,100,9724
1729244932.138396,307049.818,43885,11,PG,1,100,9715
1729244932.148123,307059.545,43885,11,PG,1,100,9741
1729244932.157850,307069.273,43885,11,PG,1,100,9714
1729244932.167577,307079.000,43885,11,PG,1,100,9698
1729244932.177911,307089.333,43902,9,PG,1,100,9719
1729244932.188244,307099.667,43902,9,PG,1,100,9728
1729244932.198577,307110.000,43902,9,PG,1,100,9718
1729244932.208910,307120.333,43902,9,PG,1,100,9729
1729244932.219244,307130.667,43902,9,PG,1,100,9740
1729244932.229577,307141.000,43902,9,PG,1,100,9741
1729244932.239910,307151.333,43902,9,PG,1,100,9763
1729244932.250243,307161.667,43902,9,PG,1,100,9716
1729244932.260577,307172.000,43902,9,PG,1,100,9718
1729244932.270304,307181.727,43919,11,PG,1,100,9754
1729244932.280031,307191.455,43919,11,PG,1,100,9724
1729244932.289758,307201.182,43919,11,PG,1,100,9762
1729244932.299486,307210.909,43919,11,PG,1,100,9749
1729244932.309213,307220.636,43919,11,PG,1,100,9748
1729244932.318940,307230.364,43919,11,PG,1,100,9762
1729244932.328667,307240.091,43919,11,PG,1,100,9756
1729244932.338395,307249.818,43919,11,PG,1,100,9738
1729244932.348122,307259.545,43919,11,PG,1,100,9738
1729244932.357849,307269.273,43919,11,PG,1,100,9713
1729244932.367576,307279.000,43919,11,PG,1,100,9720
1729244932.378276,307289.700,43934,10,PG,1,100,9690
1729244932.388976,307300.400,43934,10,PG,1,100,9683
1729244932.399676,307311.100,43934,10,PG,1,100,9680
1729244932.410376,307321.800,43934,10,PG,1,100,9673
1729244932.421076,307332.500,43934,10,PG,1,100,9709
1729244932.431776,307343.200,43934,10,PG,1,100,9706
1729244932.442476,307353.900,43934,10,PG,1,100,9701
1729244932.453176,307364.600,43934,10,PG,1,100,9703
1729244932.463876,307375.300,43934,10,PG,1,100,9672
1729244932.474576,307386.000,43934,10,PG,1,100,9677
1729244932.484909,307396.333,43951,9,PG,1,100,9665
1729244932.495242,307406.667,43951,9,PG,1,100,9686
1729244932.505576,307417.000,43951,9,PG,1,100,9679
1729244932.515909,307427.333,43951,9,PG,1,100,9669
1729244932.526242,307437.667,43951,9,PG,1,100,9714
1729244932.536575,307448.000,43951,9,PG,1,100,9660
1729244932.546909,307458.333,43951,9,PG,1,100,9694
1729244932.557242,307468.667,43951,9,PG,1,100,9667
1729244932.567575,307479.000,43951,9,PG,1,100,9666
1729244932.577212,307488.636,43969,11,PG,1,100,9686
1729244932.586848,307498.273,43969,11,PG,1,100,9667
1729244932.596484,307507.909,43969,11,PG,1,100,9674
1729244932.606121,307517.545,43969,11,PG,1,100,9677
1729244932.615757,307527.182,43969,11,PG,1,100,9689
1729244932.625393,307536.818,43969,11,PG,1,100,9663
1729244932.635030,307546.455,43969,11,PG,1,100,9665
1729244932.644666,307556.091,43969,11,PG,1,100,9679
1729244932.654302,307565.727,43969,11,PG,1,100,9650
1729244932.663939,307575.364,43969,11,PG,1,100,9638
1729244932.673575,307585.000,43969,11,PG,1,100,9663
1729244932.684019,307595.444,43986,9,PG,1,100,9683
1729244932.694463,307605.889,43986,9,PG,1,100,9687
1729244932.704908,307616.333,43986,9,PG,1,100,9663
1729244932.715352,307626.778,43986,9,PG,1,100,9665
1729244932.725797,307637.222,43986,9,PG,1,100,9659
1729244932.736241,307647.667,43986,9,PG,1,100,9646
1729244932.746686,307658.111,43986,9,PG,1,100,9693
1729244932.757130,307668.556,43986,9,PG,1,100,9655
1729244932.767574,307679.000,43986,9,PG,1,100,9670
1729244932.777211,307688.636,44002,11,PG,1,100,9671
1729244932.786847,307698.273,44002,11,PG,1,100,9691
1729244932.796483,307707.909,44002,11,PG,1,100,9669
1729244932.806120,307717.545,44002,11,PG,1,100,9692
1729244932.815756,307727.182,44002,11,PG,1,100,9677
1729244932.825392,307736.818,44002,11,PG,1,100,9683
1729244932.835028,307746.455,44002,11,PG,1,100,9676
1729244932.844665,307756.091,44002,11,PG,1,100,9687
1729244932.854301,307765.727,44002,11,PG,1,100,9654
1729244932.863937,307775.364,44002,11,PG,1,100,9659
1729244932.873574,307785.000,44002,11,PG,1,100,9674
1729244932.883301,307794.727,44018,11,PG,1,100,9695
1729244932.893028,307804.455,44018,11,PG,1,100,9688
1729244932.902755,307814.182,44018,11,PG,1,100,9670
1729244932.912483,307823.909,44018,11,PG,1,100,9690
1729244932.922210,307833.636,44018,11,PG,1,100,9695
1729244932.931937,307843.364,44018,11,PG,1,100,9657
1729244932.941664,307853.091,44018,11,PG,1,100,9698
1729244932.951392,307862.818,44018,11,PG,1,100,9689
1729244932.961119,307872.545,44018,11,PG,1,100,9685
1729244932.970846,307882.273,44018,11,PG,1,100,9711
