LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1713788013.530195,139886.000,20968,1,TH,1,100,31.444
1713788013.663197,140019.000,20987,1,TH,1,100,31.377
1713788013.796198,140152.000,21018,1,TH,1,100,31.377
1713788013.930200,140286.000,21036,1,TH,1,100,31.441
1713788014.063202,140419.000,21052,1,TH,1,100,31.441
1713788014.196203,140552.000,21084,1,TH,1,100,31.395
1713788014.330205,140686.000,21101,1,TH,1,100,31.395
1713788014.463207,140819.000,21117,1,TH,1,100,31.475
1713788014.596209,140952.000,21151,1,TH,1,100,31.475
1713788014.730210,141086.000,21168,1,TH,1,100,31.453
1713788014.863212,141219.000,21184,1,TH,1,100,31.460
1713788014.996214,141352.000,21216,1,TH,1,100,31.433
1713788015.130215,141486.000,21233,1,TH,1,100,31.434
1713788015.263217,141619.000,21250,1,TH,1,100,31.362
1713788015.396219,141752.000,21271,1,TH,1,100,31.362
1713788015.529221,141885.000,21305,1,TH,1,100,31.490
1713788015.663222,142019.000,21321,1,TH,1,100,31.490
1713788015.796224,142152.000,21338,1,TH,1,100,31.538
1713788015.929226,142285.000,21370,1,TH,1,100,31.546
1713788016.063227,142419.000,21386,1,TH,1,100,31.465
1713788016.196229,142552.000,21403,1,TH,1,100,31.465
1713788016.329231,142685.000,21435,1,TH,1,100,31.431
1713788016.463233,142819.000,21451,1,TH,1,100,31.431
1713788016.596234,142952.000,21469,1,TH,1,100,31.399
1713788016.729236,143085.000,21500,1,TH,1,100,31.399
1713788016.863238,143219.000,21516,1,TH,1,100,31.465
1713788016.996239,143352.000,21534,1,TH,1,100,31.465
1713788017.129241,143485.000,21567,1,TH,1,100,31.514
1713788017.263243,143619.000,21584,1,TH,1,100,31.514
1713788017.396245,143752.000,21601,1,TH,1,100,31.396
1713788017.529246,143885.000,21633,1,TH,1,100,31.403
1713788017.663248,144019.000,21649,1,TH,1,100,31.464
1713788017.796250,144152.000,21666,1,TH,1,100,31.464
1713788017.929251,144285.000,21690,1,TH,1,100,31.447
1713788018.063253,144419.000,21721,1,TH,1,100,31.447
1713788018.196255,144552.000,21738,1,TH,1,100,31.403
1713788018.329256,144685.000,21757,1,TH,1,100,31.410
1713788018.462258,144818.000,21788,1,TH,1,100,31.472
1713788018.596260,144952.000,21806,1,TH,1,100,31.472
1713788018.729262,145085.000,21822,1,TH,1,100,31.396
1713788018.862263,145218.000,21856,1,TH,1,100,31.396
1713788018.996265,145352.000,21873,1,TH,1,100,31.569
1713788019.129267,145485.000,21889,1,TH,1,100,31.569
1713788019.263268,145619.000,21921,1,TH,1,100,31.437
1713788019.396270,145752.000,21938,1,TH,1,100,31.437
1713788019.529272,145885.000,21954,1,TH,1,100,31.471
1713788019.662273,146018.000,21988,1,TH,1,100,31.478
1713788019.796275,146152.000,22005,1,TH,1,100,31.520
1713788019.929277,146285.000,22022,1,TH,1,100,31.520
1713788020.062279,146418.000,22039,1,TH,1,100,31.476
1713788020.196280,146552.000,22071,1,TH,1,100,31.476
1713788020.329282,146685.000,22089,1,TH,1,100,31.434
1713788020.462284,146818.000,22106,1,TH,1,100,31.434
1713788020.596286,146952.000,22138,1,TH,1,100,31.522
1713788020.729287,147085.000,22154,1,TH,1,100,31.529
1713788020.862289,147218.000,22171,1,TH,1,100,31.439
1713788020.996291,147352.000,22203,1,TH,1,100,31.439
1713788021.129292,147485.000,22219,1,TH,1,100,31.559
1713788021.262294,147618.000,22237,1,TH,1,100,31.558
1713788021.396296,147752.000,22268,1,TH,1,100,31.412
1713788021.529297,147885.000,22284,1,TH,1,100,31.412
1713788021.662299,148018.000,22302,1,TH,1,100,31.400
1713788021.795301,148151.000,22333,1,TH,1,100,31.400
1713788021.929303,148285.000,22350,1,TH,1,100,31.500
1713788022.062304,148418.000,22367,1,TH,1,100,31.500
1713788022.195306,148551.000,22383,1,TH,1,100,31.571
1713788022.329308,148685.000,22415,1,TH,1,100,31.578
1713788022.462309,148818.000,22432,1,TH,1,100,31.568
1713788022.595311,148951.000,22449,1,TH,1,100,31.568
1713788022.729313,149085.000,22480,1,TH,1,100,31.539
1713788022.862314,149218.000,22497,1,TH,1,100,31.539
1713788022.995316,149351.000,22521,1,TH,1,100,31.480
1713788023.129318,149485.000,22538,1,TH,1,100,31.480
1713788023.262320,149618.000,22570,1,TH,1,100,31.468
1713788023.395321,149751.000,22586,1,TH,1,100,31.475
1713788023.529323,149885.000,22603,1,TH,1,100,31.470
1713788023.662325,150018.000,22639,1,TH,1,100,31.470
1713788023.795326,150151.000,22655,1,TH,1,100,31.475
1713788023.929328,150285.000,22675,1,TH,1,100,31.475
1713788024.062330,150418.000,22706,1,TH,1,100,31.526
1713788024.195332,150551.000,22722,1,TH,1,100,31.526
1713788024.329333,150685.000,22740,1,TH,1,100,31.524
1713788024.462335,150818.000,22771,1,TH,1,100,31.524
1713788024.595337,150951.000,22788,1,TH,1,100,31.528
1713788024.729338,151085.000,22805,1,TH,1,100,31.536
1713788024.862340,151218.000,22837,1,TH,1,100,31.462
1713788024.995342,151351.000,22853,1,TH,1,100,31.462
1713788025.128344,151484.000,22870,1,TH,1,100,31.550
1713788025.262345,151618.000,22887,1,TH,1,100,31.550
1713788025.395347,151751.000,22920,1,TH,1,100,31.499
1713788025.528349,151884.000,22937,1,TH,1,100,31.499
1713788025.662350,152018.000,22954,1,TH,1,100,31.452
1713788025.795352,152151.000,22987,1,TH,1,100,31.459
1713788025.928354,152284.000,23005,1,TH,1,100,31.528
1713788026.062356,152418.000,23021,1,TH,1,100,31.528
1713788026.195357,152551.000,23053,1,TH,1,100,31.430
1713788026.328359,152684.000,23072,1,TH,1,100,31.430
1713788026.462361,152818.000,23088,1,TH,1,100,31.594
1713788026.595362,152951.000,23120,1,TH,1,100,31.601
1713788026.728364,153084.000,23137,1,TH,1,100,31.506
1713788026.862366,153218.000,23153,1,TH,1,100,31.506
1713788026.995368,153351.000,23187,1,TH,1,100,31.444
1713788027.128369,153484.000,23204,1,TH,1,100,31.444
1713788027.262371,153618.000,23221,1,TH,1,100,31.569
1713788027.395373,153751.000,23238,1,TH,1,100,31.569
1713788027.528374,153884.000,23270,1,TH,1,100,31.432
1713788027.662376,154018.000,23286,1,TH,1,100,31.432
1713788027.795378,154151.000,23303,1,TH,1,100,31.569
1713788027.928380,154284.000,23337,1,TH,1,100,31.569
1713788028.062381,154418.000,23353,1,TH,1,100,31.544
1713788028.195383,154551.000,23375,1,TH,1,100,31.552
1713788028.328385,154684.000,23407,1,TH,1,100,31.537
1713788028.461386,154817.000,23423,1,TH,1,100,31.537
1713788028.595388,154951.000,23441,1,TH,1,100,31.493
1713788028.728390,155084.000,23472,1,TH,1,100,31.493
1713788028.861392,155217.000,23488,1,TH,1,100,31.505
1713788028.995393,155351.000,23506,1,TH,1,100,31.505
1713788029.128395,155484.000,23539,1,TH,1,100,31.534
1713788029.261397,155617.000,23556,1,TH,1,100,31.534
1713788029.395398,155751.000,23573,1,TH,1,100,31.522
1713788029.528400,155884.000,23605,1,TH,1,100,31.522
1713788029.661402,156017.000,23621,1,TH,1,100,31.507
1713788029.795403,156151.000,23638,1,TH,1,100,31.514
1713788029.928405,156284.000,23655,1,TH,1,100,31.526
1713788030.061407,156417.000,23688,1,TH,1,100,31.526
1713788030.195409,156551.000,23705,1,TH,1,100,31.597
1713788030.328410,156684.000,23724,1,TH,1,100,31.597
1713788030.461412,156817.000,23757,1,TH,1,100,31.563
