LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1713788008.683133,135039.000,20167,2,AY,1,100,0.008
1713788008.730133,135086.000,20187,2,AY,1,100,0.012
1713788008.777134,135133.000,20187,2,AY,1,100,0.003
1713788008.817134,135173.000,20204,3,AY,1,100,0.002
1713788008.857135,135213.000,20204,3,AY,1,100,0.005
1713788008.897135,135253.000,20204,3,AY,1,100,0.007
1713788008.937136,135293.000,20221,2,AY,1,100,0.010
1713788008.977136,135333.000,20221,2,AY,1,100,0.004
1713788009.017137,135373.000,20236,3,AY,1,100,0.003
1713788009.057137,135413.000,20236,3,AY,1,100,0.008
1713788009.097138,135453.000,20236,3,AY,1,100,0.014
1713788009.137138,135493.000,20252,2,AY,1,100,0.010
1713788009.177139,135533.000,20252,2,AY,1,100,0.007
1713788009.217139,135573.000,20270,3,AY,1,100,0.002
1713788009.257140,135613.000,20270,3,AY,1,100,0.004
1713788009.297141,135653.000,20270,3,AY,1,100,0.005
1713788009.337141,135693.000,20286,2,AY,1,100,0.004
1713788009.377141,135733.000,20286,2,AY,1,100,0.007
1713788009.417142,135773.000,20301,3,AY,1,100,0.009
1713788009.457143,135813.000,20301,3,AY,1,100,0.008
1713788009.497143,135853.000,20301,3,AY,1,100,0.008
1713788009.537144,135893.000,20318,2,AY,1,100,0.010
1713788009.577144,135933.000,20318,2,AY,1,100,0.006
1713788009.617145,135973.000,20337,3,AY,1,100,0.007
1713788009.657145,136013.000,20337,3,AY,1,100,0.003
1713788009.697146,136053.000,20337,3,AY,1,100,-0.001
1713788009.737146,136093.000,20353,3,AY,1,100,0.010
1713788009.777147,136133.000,20353,3,AY,1,100,0.008
1713788009.817147,136173.000,20353,3,AY,1,100,0.003
1713788009.857148,136213.000,20369,2,AY,1,100,0.010
1713788009.897148,136253.000,20369,2,AY,1,100,0.005
1713788009.937149,136293.000,20385,3,AY,1,100,0.011
1713788009.977149,136333.000,20385,3,AY,1,100,0.003
1713788010.017150,136373.000,20385,3,AY,1,100,0.006
1713788010.057150,136413.000,20402,2,AY,1,100,0.007
1713788010.097151,136453.000,20402,2,AY,1,100,0.007
1713788010.137151,136493.000,20418,3,AY,1,100,0.005
1713788010.177152,136533.000,20418,3,AY,1,100,0.009
1713788010.217152,136573.000,20418,3,AY,1,100,0.008
1713788010.257153,136613.000,20438,2,AY,1,100,0.004
1713788010.297153,136653.000,20438,2,AY,1,100,0.009
1713788010.337154,136693.000,20452,3,AY,1,100,0.006
1713788010.377154,136733.000,20452,3,AY,1,100,0.008
1713788010.417155,136773.000,20452,3,AY,1,100,0.006
1713788010.457155,136813.000,20469,2,AY,1,100,0.006
1713788010.497156,136853.000,20469,2,AY,1,100,0.008
1713788010.537156,136893.000,20488,3,AY,1,100,0.009
1713788010.577157,136933.000,20488,3,AY,1,100,0.010
1713788010.617157,136973.000,20488,3,AY,1,100,0.007
1713788010.657158,137013.000,20505,2,AY,1,100,0.005
1713788010.697159,137053.000,20505,2,AY,1,100,0.009
1713788010.737159,137093.000,20519,3,AY,1,100,0.011
1713788010.777159,137133.000,20519,3,AY,1,100,0.008
1713788010.817160,137173.000,20519,3,AY,1,100,0.006
1713788010.863161,137219.000,20537,2,AY,1,100,0.007
1713788010.909161,137265.000,20537,2,AY,1,100,0.011
1713788010.949162,137305.000,20553,3,AY,1,100,0.008
1713788010.989162,137345.000,20553,3,AY,1,100,0.004
1713788011.029163,137385.000,20553,3,AY,1,100,0.007
1713788011.069163,137425.000,20570,2,AY,1,100,0.006
1713788011.109164,137465.000,20570,2,AY,1,100,0.007
1713788011.149164,137505.000,20584,3,AY,1,100,0.008
1713788011.189165,137545.000,20584,3,AY,1,100,0.009
1713788011.229165,137585.000,20584,3,AY,1,100,-0.002
1713788011.269166,137625.000,20602,2,AY,1,100,0.016
1713788011.309166,137665.000,20602,2,AY,1,100,0.020
1713788011.349167,137705.000,20618,3,AY,1,100,0.006
1713788011.389167,137745.000,20618,3,AY,1,100,0.008
1713788011.429168,137785.000,20618,3,AY,1,100,0.009
1713788011.469168,137825.000,20637,2,AY,1,100,0.006
1713788011.509169,137865.000,20637,2,AY,1,100,0.009
1713788011.549170,137905.000,20652,3,AY,1,100,0.010
1713788011.589170,137945.000,20652,3,AY,1,100,0.010
1713788011.629170,137985.000,20652,3,AY,1,100,0.009
1713788011.669171,138025.000,20669,2,AY,1,100,0.011
1713788011.709172,138065.000,20669,2,AY,1,100,0.016
1713788011.749172,138105.000,20685,3,AY,1,100,0.008
1713788011.789172,138145.000,20685,3,AY,1,100,0.010
1713788011.829173,138185.000,20685,3,AY,1,100,0.010
1713788011.869174,138225.000,20703,2,AY,1,100,0.007
1713788011.909174,138265.000,20703,2,AY,1,100,0.006
1713788011.949175,138305.000,20717,3,AY,1,100,0.007
1713788011.989175,138345.000,20717,3,AY,1,100,0.009
1713788012.029176,138385.000,20717,3,AY,1,100,0.010
1713788012.069176,138425.000,20736,2,AY,1,100,0.010
1713788012.109177,138465.000,20736,2,AY,1,100,0.011
1713788012.149177,138505.000,20752,3,AY,1,100,0.012
1713788012.189178,138545.000,20752,3,AY,1,100,0.010
1713788012.229178,138585.000,20752,3,AY,1,100,0.006
1713788012.269179,138625.000,20770,3,AY,1,100,0.008
1713788012.309179,138665.000,20770,3,AY,1,100,0.010
1713788012.349180,138705.000,20770,3,AY,1,100,0.010
1713788012.389680,138745.500,20785,2,AY,1,100,0.007
1713788012.430181,138786.000,20785,2,AY,1,100,0.006
1713788012.470181,138826.000,20801,3,AY,1,100,0.008
1713788012.510182,138866.000,20801,3,AY,1,100,0.011
1713788012.550182,138906.000,20801,3,AY,1,100,0.008
1713788012.590183,138946.000,20818,2,AY,1,100,0.005
1713788012.630183,138986.000,20818,2,AY,1,100,0.009
1713788012.670184,139026.000,20835,3,AY,1,100,0.008
1713788012.710184,139066.000,20835,3,AY,1,100,0.012
1713788012.750185,139106.000,20835,3,AY,1,100,0.011
1713788012.790185,139146.000,20856,2,AY,1,100,0.008
1713788012.830186,139186.000,20856,2,AY,1,100,0.006
1713788012.870186,139226.000,20872,2,AY,1,100,0.009
1713788012.910187,139266.000,20872,2,AY,1,100,0.008
1713788012.954187,139310.000,20888,3,AY,1,100,0.008
1713788012.998188,139354.000,20888,3,AY,1,100,0.009
1713788013.042189,139398.000,20888,3,AY,1,100,0.004
1713788013.082189,139438.000,20905,2,AY,1,100,0.008
1713788013.122190,139478.000,20905,2,AY,1,100,0.008
1713788013.162190,139518.000,20922,3,AY,1,100,0.009
1713788013.202191,139558.000,20922,3,AY,1,100,0.012
1713788013.242191,139598.000,20922,3,AY,1,100,0.009
1713788013.282192,139638.000,20937,2,AY,1,100,0.008
1713788013.322192,139678.000,20937,2,AY,1,100,0.006
1713788013.362193,139718.000,20953,3,AY,1,100,0.009
1713788013.402193,139758.000,20953,3,AY,1,100,0.006
1713788013.442194,139798.000,20953,3,AY,1,100,0.010
1713788013.482194,139838.000,20970,3,AY,1,100,0.008
1713788013.522195,139878.000,20970,3,AY,1,100,0.009
1713788013.562195,139918.000,20970,3,AY,1,100,0.010
1713788013.602196,139958.000,20989,2,AY,1,100,0.008
1713788013.642196,139998.000,20989,2,AY,1,100,0.005
1713788013.682197,140038.000,21004,3,AY,1,100,0.008
1713788013.722197,140078.000,21004,3,AY,1,100,0.009
1713788013.762198,140118.000,21004,3,AY,1,100,0.006
1713788013.802198,140158.000,21020,2,AY,1,100,0.009
1713788013.842199,140198.000,21020,2,AY,1,100,0.010
1713788013.882199,140238.000,21038,3,AY,1,100,0.006
1713788013.922200,140278.000,21038,3,AY,1,100,0.006
1713788013.962200,140318.000,21038,3,AY,1,100,0.008
1713788014.002201,140358.000,21054,2,AY,1,100,0.008
1713788014.042202,140398.000,21054,2,AY,1,100,0.010
1713788014.082202,140438.000,21069,3,AY,1,100,0.009
1713788014.122202,140478.000,21069,3,AY,1,100,0.008
1713788014.162203,140518.000,21069,3,AY,1,100,0.009
1713788014.202204,140558.000,21086,2,AY,1,100,0.008
1713788014.242204,140598.000,21086,2,AY,1,100,0.006
1713788014.282204,140638.000,21103,3,AY,1,100,0.009
1713788014.322205,140678.000,21103,3,AY,1,100,0.009
1713788014.362206,140718.000,21103,3,AY,1,100,0.007
1713788014.402206,140758.000,21119,2,AY,1,100,0.008
1713788014.442207,140798.000,21119,2,AY,1,100,0.012
1713788014.482207,140838.000,21134,3,AY,1,100,0.010
