LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1716209232.576473,245343.000,38453,1,SF,1,100,100.4130
1716209232.843476,245610.000,38501,1,SF,1,100,99.2514
1716209233.176480,245943.000,38550,1,SF,1,100,98.1033
1716209233.576485,246343.000,38618,1,SF,1,100,99.0507
1716209233.909489,246676.000,38671,1,SF,1,100,99.9871
1716209234.176492,246943.000,38720,1,SF,1,100,98.8304
1716209234.509496,247276.000,38770,1,SF,1,100,99.7694
1716209234.843499,247610.000,38830,1,SF,1,100,100.6975
1716209235.176503,247943.000,38880,1,SF,1,100,101.6149
1716209235.576508,248343.000,38945,1,SF,1,100,100.4394
1716209235.842511,248609.000,38996,1,SF,1,100,99.2775
1716209236.176515,248943.000,39044,1,SF,1,100,98.1291
1716209236.576520,249343.000,39111,1,SF,1,100,99.0761
1716209236.842523,249609.000,39164,1,SF,1,100,102.0945
1716209237.176527,249943.000,39214,1,SF,1,100,100.9135
1716209237.509531,250276.000,39265,1,SF,1,100,101.8284
1716209237.909535,250676.000,39330,1,SF,1,100,100.6504
1716209238.176538,250943.000,39380,1,SF,1,100,101.5683
1716209238.509542,251276.000,39433,1,SF,1,100,102.4756
1716209238.909547,251676.000,39501,1,SF,1,100,101.2902
1716209239.242551,252009.000,39552,1,SF,1,100,102.2007
1716209239.509554,252276.000,39601,1,SF,1,100,101.0185
1716209239.909559,252676.000,39658,1,SF,1,100,101.9321
1716209240.175562,252942.000,39709,1,SF,1,100,102.8352
1716209240.509566,253276.000,39761,1,SF,1,100,103.7279
1716209240.909570,253676.000,39828,1,SF,1,100,104.6102
1716209241.175574,253942.000,39881,1,SF,1,100,105.4823
1716209241.509578,254276.000,39931,1,SF,1,100,106.3443
1716209241.842581,254609.000,39982,1,SF,1,100,107.1964
1716209242.242586,255009.000,40047,1,SF,1,100,105.9563
1716209242.509589,255276.000,40097,1,SF,1,100,104.7306
1716209242.842593,255609.000,40148,1,SF,1,100,105.6013
1716209243.242598,256009.000,40215,1,SF,1,100,104.3797
1716209243.508601,256275.000,40265,1,SF,1,100,105.2545
1716209243.842605,256609.000,40317,1,SF,1,100,106.1192
1716209244.175609,256942.000,40368,1,SF,1,100,104.8916
1716209244.508612,257275.000,40421,1,SF,1,100,105.7604
1716209244.908617,257675.000,40476,1,SF,1,100,104.5370
1716209245.175620,257942.000,40529,1,SF,1,100,105.4100
1716209245.508624,258275.000,40579,1,SF,1,100,106.2728
1716209245.908629,258675.000,40644,1,SF,1,100,105.0434
1716209246.175632,258942.000,40695,1,SF,1,100,105.9105
1716209246.508636,259275.000,40746,1,SF,1,100,106.7676
1716209246.841640,259608.000,40800,1,SF,1,100,107.6148
1716209247.241644,260008.000,40865,1,SF,1,100,106.3699
1716209247.508647,260275.000,40915,1,SF,1,100,107.2216
