LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1716209285.632547,298398.455,47230,11,PG,1,100,12177
1716209285.642275,298408.182,47230,11,PG,1,100,12175
1716209285.652002,298417.909,47230,11,PG,1,100,12142
1716209285.661730,298427.636,47230,11,PG,1,100,12169
1716209285.671457,298437.364,47230,11,PG,1,100,12173
1716209285.681184,298447.091,47230,11,PG,1,100,12188
1716209285.690912,298456.818,47230,11,PG,1,100,12208
1716209285.700639,298466.545,47230,11,PG,1,100,12202
1716209285.710366,298476.273,47230,11,PG,1,100,12188
1716209285.720094,298486.000,47230,11,PG,1,100,12208
1716209285.730427,298496.333,47246,9,PG,1,100,12193
1716209285.740761,298506.667,47246,9,PG,1,100,12184
1716209285.751094,298517.000,47246,9,PG,1,100,12217
1716209285.761428,298527.333,47246,9,PG,1,100,12210
1716209285.771761,298537.667,47246,9,PG,1,100,12208
1716209285.782095,298548.000,47246,9,PG,1,100,12235
1716209285.792428,298558.333,47246,9,PG,1,100,12217
1716209285.802762,298568.667,47246,9,PG,1,100,12196
1716209285.813095,298579.000,47246,9,PG,1,100,12242
1716209285.823095,298589.000,47269,16,PG,1,100,12243
1716209285.833095,298599.000,47269,16,PG,1,100,12249
1716209285.843095,298609.000,47269,16,PG,1,100,12235
1716209285.853096,298619.000,47269,16,PG,1,100,12249
1716209285.863096,298629.000,47269,16,PG,1,100,12239
1716209285.873096,298639.000,47269,16,PG,1,100,12242
1716209285.883096,298649.000,47269,16,PG,1,100,12243
1716209285.893096,298659.000,47269,16,PG,1,100,12244
1716209285.903096,298669.000,47269,16,PG,1,100,12216
1716209285.913096,298679.000,47269,16,PG,1,100,12216
1716209285.923096,298689.000,47269,16,PG,1,100,12216
1716209285.933096,298699.000,47269,16,PG,1,100,12225
1716209285.943096,298709.000,47269,16,PG,1,100,12202
1716209285.953097,298719.000,47269,16,PG,1,100,12198
1716209285.963097,298729.000,47269,16,PG,1,100,12210
1716209285.973097,298739.000,47269,16,PG,1,100,12192
1716209285.982824,298748.727,47285,11,PG,1,100,12192
1716209285.992552,298758.455,47285,11,PG,1,100,12174
1716209286.002279,298768.182,47285,11,PG,1,100,12161
1716209286.012006,298777.909,47285,11,PG,1,100,12177
1716209286.021734,298787.636,47285,11,PG,1,100,12158
1716209286.031461,298797.364,47285,11,PG,1,100,12167
1716209286.041188,298807.091,47285,11,PG,1,100,12178
1716209286.050916,298816.818,47285,11,PG,1,100,12192
1716209286.060643,298826.545,47285,11,PG,1,100,12163
1716209286.070371,298836.273,47285,11,PG,1,100,12151
1716209286.080098,298846.000,47285,11,PG,1,100,12199
1716209286.090431,298856.333,47305,9,PG,1,100,12158
1716209286.100765,298866.667,47305,9,PG,1,100,12174
1716209286.111099,298877.000,47305,9,PG,1,100,12167
1716209286.121432,298887.333,47305,9,PG,1,100,12161
1716209286.131765,298897.667,47305,9,PG,1,100,12164
1716209286.142099,298908.000,47305,9,PG,1,100,12138
1716209286.152432,298918.333,47305,9,PG,1,100,12164
1716209286.162766,298928.667,47305,9,PG,1,100,12190
1716209286.173099,298939.000,47305,9,PG,1,100,12163
1716209286.182827,298948.727,47321,11,PG,1,100,12157
1716209286.192554,298958.455,47321,11,PG,1,100,12171
1716209286.202281,298968.182,47321,11,PG,1,100,12157
1716209286.212009,298977.909,47321,11,PG,1,100,12159
1716209286.221736,298987.636,47321,11,PG,1,100,12180
1716209286.231463,298997.364,47321,11,PG,1,100,12162
1716209286.241191,299007.091,47321,11,PG,1,100,12169
1716209286.250918,299016.818,47321,11,PG,1,100,12169
1716209286.260646,299026.545,47321,11,PG,1,100,12203
1716209286.270373,299036.273,47321,11,PG,1,100,12188
1716209286.280100,299046.000,47321,11,PG,1,100,12151
1716209286.290801,299056.700,47336,10,PG,1,100,12162
1716209286.301501,299067.400,47336,10,PG,1,100,12160
1716209286.312201,299078.100,47336,10,PG,1,100,12141
1716209286.322901,299088.800,47336,10,PG,1,100,12160
1716209286.333601,299099.500,47336,10,PG,1,100,12174
1716209286.344301,299110.200,47336,10,PG,1,100,12153
1716209286.355001,299120.900,47336,10,PG,1,100,12170
1716209286.365701,299131.600,47336,10,PG,1,100,12172
1716209286.376402,299142.300,47336,10,PG,1,100,12179
1716209286.387102,299153.000,47336,10,PG,1,100,12161
1716209286.396402,299162.300,47352,10,PG,1,100,12180
1716209286.405702,299171.600,47352,10,PG,1,100,12191
1716209286.415002,299180.900,47352,10,PG,1,100,12183
1716209286.424302,299190.200,47352,10,PG,1,100,12172
1716209286.433602,299199.500,47352,10,PG,1,100,12213
